Observed_Temperature,Pct_Canopy,Mean_Elevation,Pct_Water,Pct_Green_Space,BEI_PC1,POINT_X,POINT_Y
87.33275572,0.073817889,0.689440994,0,0,0.069152927,349609.5434,252805.9657
87.08034357,0.170317681,0.683229814,0,0,0.059002813,349707.9687,252805.9657
87.91935453,0.175414879,0.664596273,0,0,0.063794808,349806.3937,252805.9657
87.82087328,0.013307778,0.652173913,0,0,0.036735379,349904.819,252805.9657
87,0.051489449,0.639751553,0,0,0.052106617,350003.2444,252805.9657
87,0.186094055,0.627329193,0,0,0.028150962,350101.6694,252805.9657
87,0.057525547,0.627329193,0,0,0.045403165,350200.0947,252805.9657
87,0.233500916,0.751552795,0,0,0.054513941,350298.5197,252805.9657
86.92103693,0.789047174,0.739130435,0,0,0.013546422,350396.945,252805.9657
86,0.154298283,0.732919255,0,0,0.010762458,350495.3703,252805.9657
85.790455,0.16647603,0.726708075,0,0,0.022029394,350593.7953,252805.9657
85,0.991451697,0.720496894,0,0.702941575,0.001800283,350692.2207,252805.9657
84.92704312,0.280751731,0.714285714,0,0.999996667,0,350790.6457,252805.9657
84.07221383,0.400555462,0.708074534,0,1,0,350889.071,252805.9657
84,0.965572982,0.701863354,0.159579508,0.956302011,0,350987.4963,252805.9657
