OBJECTID,Elevation_m,Pct_GreenSpace,Pct_Impervious,Pct_Canopy,Distance_from_water_m,POINT_X,POINT_Y
502,3.1,0,37.33,40,91.51,349511.1184,271113.0528
503,28,0,99.62,51.39,647.77,339963.8737,266093.3676
504,37,0,57.59,41.81,785.02,340948.126,271900.4544
505,1.95,35.33,98.98,50,6.33,355219.7799,266979.1946
506,16.55,0,82.9,30,543.95,355711.9058,256152.4226
507,39.27,0,59.6,30,568.69,341341.8266,271014.6278
509,26,18.34,62.31,40,443.31,339668.5984,264715.415
510,21.88,0,99.76,40,474.63,342030.803,265896.5173
512,18.24,0,28.1,70.18,8.1,336420.5665,273179.982
513,36.8,0,95.12,30,383.76,341440.252,270325.6511
514,11.42,0,100,40,741.19,343999.3069,264912.2653
515,21.08,0,56.45,67.17,519.12,345967.8112,262648.4857
516,26.57,0,80.24,40,51.28,338290.6454,264518.5647
517,26.91,0,49.13,62.95,289.46,338389.0707,268553.9979
518,20.11,40,88.54,69.65,299.17,346263.0865,269538.2498
519,14.93,0,29.25,70.99,179.63,343704.0316,270030.3758
521,26.2,0,71.64,40.67,836.12,357483.5595,272491.0057
522,15,100,99.77,50,116.11,345081.9842,259105.1785
523,33,89.91,18.43,40,793.04,356991.4335,276329.5886
524,20.79,0,41.32,40.51,909.97,350396.945,260581.5565
525,31.87,85.57,0,40,826.86,357188.2838,272294.1554
526,23,0,87.68,40,641.03,349215.8427,273967.3837
527,7.74,0,100,50,253.81,353743.4019,264715.415
529,47.55,0,71.51,40,389.52,345967.8112,276231.1633
532,19.98,0,62.47,42.04,440.03,359156.7877,272195.7301
533,23.49,0,96.62,33.23,468.24,357483.5595,271014.6278
535,27.15,0,91.66,30,766.55,340652.8503,265502.8166
536,22.33,40,86.6,30,1166.85,347247.3388,265010.6906
537,21.96,0,73.43,40,1122.21,350396.945,263042.1864
539,21.01,0,73.83,42.47,1182.2,350987.4963,263042.1864
540,23.78,0,99.54,35,512.71,357581.9848,271309.9034
541,23.99,0,94.7,40,217.51,340554.425,269931.9505
