OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
27340,87,0,0.4230114,0.5,296052.5318,4632926.366
44919,85,0.1,0,0.722,296052.8075,4634997.48
19687,89,0.078,0.5184442,0.611,296052.8386,4631905.804
35730,87,0.285,0.5063307,0.69,296053.1036,4633976.918
27584,87,0.029,0.0897695,0.5,296053.4049,4632956.357
45180,85,0.138,0,0.738,296053.681,4635027.471
19890,89,0.076,0.6063762,0.611,296053.7116,4631935.795
35989,87,0.217,0.2882301,0.69,296053.9769,4634006.909
27829,87,0.008,0,0.5,296054.2781,4632986.347
45440,85,0.791,0,0.762,296054.5544,4635057.461
20094,89,0,0.503747,0.611,296054.5846,4631965.786
36250,87,0.001,0.4250264,0.69,296054.8502,4634036.9
28075,88,0.512,0.0309023,0.524,296055.1512,4633016.338
45699,86,0.632,0.1799769,0.77,296055.4279,4635087.452
20298,88,0,0.5124903,0.611,296055.4576,4631995.777
36513,87,0.21,0.6007178,0.675,296055.7235,4634066.891
14442,88,0,0.4010508,0.722,296056.0143,4631138.748
28321,88,0.068,0.0910986,0.532,296056.0244,4633046.329
45957,86,0.905,0.0004379,0.77,296056.3014,4635117.443
20504,88,0,0.5503433,0.611,296056.3306,4632025.768
36780,87,0.238,0.3503124,0.675,296056.5968,4634096.881
28569,89,0.428,0.2250806,0.548,296056.8975,4633076.32
46214,86,1,0,0.786,296057.1748,4635147.434
20710,88,0.266,0.5081153,0.603,296057.2036,4632055.758
37049,87,0.002,0.510563,0.659,296057.4701,4634126.872
28817,89,0.436,0.420794,0.548,296057.7707,4633106.311
46469,86,1,0,0.802,296058.0483,4635177.425
20916,88,0.076,0.4477012,0.603,296058.0766,4632085.749
37319,87,0.432,0.4140633,0.659,296058.3434,4634156.863
29066,89,0.013,0.5630649,0.556,296058.6438,4633136.302
46723,86,0.82,0.0232208,0.81,296058.9218,4635207.416
21123,88,0,0.6231876,0.611,296058.9496,4632115.74
37591,86,0.823,0.122612,0.659,296059.2168,4634186.854
29317,89,0.305,0.5371898,0.563,296059.517,4633166.292
